,break_time,x,break,wrd_id,sylls,syll_times,prominent_unit,prominent_brk,unit
0,0.511551,123,1,0,"['H*', 'HiF0']","[0.379538, 0.390539]",True,False,['such']
1,1.177118,123,3,1,"['!H*', 'L+H*', 'L-']","[0.665567, 0.973598, 1.133114]",True,True,['supervision']
2,1.661167,123,1,2,"['L+H*', 'HiF0']","[1.49615, 1.49615]",True,False,['according']
3,1.831684,123,1-,3,[],[],False,False,['to']
4,2.128714,123,4,4,"['*?', 'L-H%']","[1.941695, 2.057207]",False,True,['Ash']
5,2.398241,123,2,5,"['*?', '-?']","[2.310232, 2.365238]",False,False,['is']
6,2.48625,123,1,6,[],[],False,False,['a']
7,3.140815,123,4,7,"['H+!H*', 'L-H%']","[2.750276, 3.003302]",False,True,['sensible']
8,3.608362,123,1,8,['H*'],[3.437845],True,False,['cost']
9,4.009903,123,1,9,[],[],False,False,['effective']
10,4.587461,123,3,10,"['L+H*', 'HiF0', 'L-']","[4.317934, 4.317934, 4.504952]",True,True,['alternative']
11,4.790979,123,1-,11,[],[],False,False,['to']
12,5.665567,123,4,12,"['H*', 'H*', 'HiF0', 'L-L%']","[5.016502, 5.374038, 5.390539, 5.605061]",True,True,['incarceration']
13,5.836084,123,1,13,['L*'],[5.803081],True,False,['that']
14,6.061607,123,1,14,[],[],False,False,['should']
15,6.419143,123,3,15,"['H*', 'HiF0', 'L-']","[6.199121, 6.226623, 6.39164]",True,True,['not']
16,6.848186,123,3,16,"['>', 'HiF0', 'H+!H*', 'H-']","[6.540155, 6.540155, 6.661167, 6.842685]",False,True,['alarm']
17,7.260727,123,1,17,['H*'],[7.095711],True,False,['civil']
18,8.102312,123,4,18,"['H*', 'H*', 'HiF0', 'L-L%']","[7.315733, 7.634765, 7.634765, 7.893291]",True,True,['libertarians']
19,8.833884,123,1,19,[],[],False,False,['Doctor']
20,9.262927,123,1,20,['H*'],[8.9934],True,False,['Norman']
21,9.933994,123,4,21,"['HiF0', 'L+H*', 'L-L%']","[9.449946, 9.466448, 9.724974]",True,True,['Rosenblatt']
22,10.236525,123,1,22,['H*'],[10.143016],True,False,['dean']
23,10.330034,123,1-,23,[],[],False,False,['of']
24,10.401542,123,1,24,[],[],False,False,['the']
25,10.808582,123,1-,25,['L+H*'],[10.58856],True,False,['college']
26,10.88009,123,2-,26,[],[],False,False,['of']
27,11.292631,123,1,27,['L+H*'],[11.067108],True,False,['criminal']
28,11.738175,123,3-,28,"['L+!H*', '!H-']","[11.468649, 11.666669]",False,True,['justice']
29,11.820684,123,1,29,[],[],False,False,['at']
30,12.37624,123,1,30,"['HiF0', 'H*']","[12.112213, 12.128715]",True,False,['Northeastern']
31,13.032136,123,4,31,['L-H%'],[12.816284],False,True,['University']
32,13.807713,123,4,32,"['HiF0', '>', 'H+!H*', 'L-L%']","[13.114644, 13.125645, 13.290661, 13.47218]",False,True,['agrees']
